epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,251.122,0.39057,0.17955,0.00587,0.99007,0.99749,0.99313,0.94043,0.37657,0.12509,0.00802,0.00153668,0.00153668,0.00153668
119,253.142,0.39251,0.16719,0.00541,0.97334,0.985,0.99375,0.93143,0.39448,0.14062,0.00929,0.00153272,0.00153272,0.00153272
120,255.237,0.43069,0.18528,0.00617,0.97259,0.99,0.98536,0.92154,0.36726,0.14015,0.00801,0.00152876,0.00152876,0.00152876
121,257.261,0.37809,0.17229,0.00555,0.96131,0.99394,0.98537,0.9096,0.42586,0.14981,0.01006,0.0015248,0.0015248,0.0015248
122,259.369,0.40616,0.19498,0.00607,0.98743,0.98,0.9942,0.89485,0.47605,0.15814,0.01248,0.00152084,0.00152084,0.00152084
123,261.384,0.41919,0.1896,0.00641,0.99402,0.995,0.99425,0.92101,0.37961,0.12259,0.00895,0.00151688,0.00151688,0.00151688
124,263.384,0.41378,0.18399,0.00612,0.97556,0.99,0.99353,0.90794,0.37839,0.1449,0.0089,0.00151292,0.00151292,0.00151292
125,265.426,0.42151,0.19129,0.00627,0.97457,0.99,0.9925,0.9288,0.33098,0.12279,0.00723,0.00150896,0.00150896,0.00150896
126,267.581,0.39346,0.1861,0.00576,0.96923,0.94513,0.98978,0.92106,0.38701,0.25258,0.00896,0.001505,0.001505,0.001505
127,269.575,0.41867,0.19764,0.00625,0.9747,0.98,0.9934,0.91254,0.39602,0.14752,0.00911,0.00150104,0.00150104,0.00150104
128,271.665,0.43703,0.18746,0.00656,0.96106,1,0.99225,0.92633,0.36256,0.14739,0.00766,0.00149708,0.00149708,0.00149708
129,273.673,0.42658,0.18295,0.00684,0.9605,0.97275,0.98541,0.88565,0.47459,0.23944,0.01304,0.00149312,0.00149312,0.00149312
130,275.872,0.40643,0.19071,0.0064,0.98844,0.975,0.99309,0.92483,0.38478,0.15049,0.00862,0.00148916,0.00148916,0.00148916
131,277.871,0.40959,0.19464,0.00651,0.9701,0.97338,0.99209,0.89831,0.45627,0.17378,0.01225,0.0014852,0.0014852,0.0014852
132,279.951,0.39573,0.17254,0.00605,0.95652,0.98991,0.9928,0.91689,0.40539,0.17139,0.0093,0.00148124,0.00148124,0.00148124
133,281.965,0.43068,0.19183,0.00616,0.95993,0.95823,0.98988,0.90928,0.42426,0.23137,0.00919,0.00147728,0.00147728,0.00147728
134,284.118,0.40159,0.17523,0.00637,0.94253,0.98406,0.98784,0.9187,0.38392,0.1586,0.00935,0.00147332,0.00147332,0.00147332
135,286.144,0.40335,0.18534,0.00594,0.95586,0.97443,0.97803,0.90729,0.38996,0.19341,0.00877,0.00146936,0.00146936,0.00146936
136,288.193,0.41968,0.18485,0.00659,0.96945,0.98,0.98432,0.91271,0.37403,0.17158,0.00917,0.0014654,0.0014654,0.0014654
137,290.226,0.388,0.19011,0.00575,0.97998,0.97882,0.99159,0.91942,0.38915,0.14831,0.00948,0.00146144,0.00146144,0.00146144
138,292.358,0.38418,0.17542,0.00558,0.98507,0.98964,0.9944,0.92386,0.3597,0.13024,0.00798,0.00145748,0.00145748,0.00145748
139,294.414,0.37305,0.17441,0.00566,0.98994,0.98441,0.99146,0.91008,0.41332,0.14422,0.01089,0.00145352,0.00145352,0.00145352
140,296.497,0.41129,0.1845,0.00603,0.98018,0.98884,0.98775,0.91381,0.39933,0.15747,0.01039,0.00144956,0.00144956,0.00144956
141,298.513,0.39571,0.17617,0.00574,0.97989,0.97454,0.98547,0.903,0.41332,0.15213,0.00984,0.0014456,0.0014456,0.0014456
142,300.66,0.38664,0.17864,0.00551,0.97853,0.99,0.99307,0.91826,0.4058,0.15413,0.00952,0.00144164,0.00144164,0.00144164
143,302.65,0.39031,0.17703,0.00595,0.97054,0.98838,0.98544,0.90176,0.44681,0.16971,0.01044,0.00143768,0.00143768,0.00143768
144,304.698,0.41081,0.1891,0.00607,0.98015,0.98759,0.99175,0.90587,0.41189,0.15581,0.00969,0.00143372,0.00143372,0.00143372
145,306.814,0.41088,0.19005,0.0059,0.99008,0.99847,0.99388,0.90697,0.41438,0.13983,0.01088,0.00142976,0.00142976,0.00142976
146,308.838,0.40979,0.18726,0.00604,0.98037,0.99866,0.99405,0.92283,0.37168,0.12698,0.00858,0.0014258,0.0014258,0.0014258
147,310.855,0.42136,0.19039,0.00645,0.97519,0.9826,0.99124,0.91568,0.38137,0.14489,0.00902,0.00142184,0.00142184,0.00142184
148,312.898,0.39522,0.1862,0.00607,0.9654,0.97661,0.98884,0.91555,0.39582,0.16069,0.00895,0.00141788,0.00141788,0.00141788
149,315.082,0.42434,0.1945,0.00638,0.99162,0.985,0.9944,0.92531,0.38949,0.14113,0.00926,0.00141392,0.00141392,0.00141392
150,317.157,0.39607,0.16894,0.00591,0.95167,0.96,0.98852,0.91335,0.42768,0.25207,0.00894,0.00140996,0.00140996,0.00140996
151,319.506,0.41113,0.1794,0.00596,0.96664,0.96,0.99116,0.91937,0.42401,0.17444,0.00898,0.001406,0.001406,0.001406
152,321.781,0.41124,0.17778,0.00623,0.98357,0.99,0.99404,0.92543,0.37311,0.13357,0.00865,0.00140204,0.00140204,0.00140204
153,324.046,0.41946,0.20796,0.00633,0.97049,1,0.9939,0.91902,0.39715,0.14871,0.00942,0.00139808,0.00139808,0.00139808
154,326.287,0.39148,0.16295,0.00574,0.98649,0.96,0.99305,0.92486,0.38674,0.17249,0.00971,0.00139412,0.00139412,0.00139412
155,328.89,0.40597,0.18517,0.00612,0.98296,0.975,0.99293,0.91227,0.40823,0.18009,0.00905,0.00139016,0.00139016,0.00139016
156,330.972,0.42324,0.18918,0.00674,0.97766,0.98,0.98935,0.86754,0.54585,0.22055,0.0157,0.0013862,0.0013862,0.0013862
157,333.071,0.41439,0.19009,0.00658,0.98026,0.99327,0.99291,0.90097,0.40323,0.16573,0.01031,0.00138224,0.00138224,0.00138224
158,335.128,0.41108,0.18166,0.00605,0.97396,0.995,0.994,0.92065,0.35638,0.12939,0.00809,0.00137828,0.00137828,0.00137828
159,337.142,0.39053,0.17625,0.00558,0.97519,0.98267,0.9909,0.92046,0.36043,0.14548,0.00836,0.00137432,0.00137432,0.00137432
160,339.265,0.36617,0.16336,0.00534,0.97524,0.98453,0.99233,0.92169,0.37021,0.15706,0.00865,0.00137036,0.00137036,0.00137036
161,341.287,0.37537,0.16296,0.00532,0.97514,0.995,0.98948,0.92518,0.3736,0.14121,0.00827,0.0013664,0.0013664,0.0013664
162,343.325,0.394,0.17349,0.00596,0.97455,0.995,0.99033,0.9235,0.37316,0.14721,0.00818,0.00136244,0.00136244,0.00136244
163,345.322,0.39391,0.17873,0.00553,0.97055,0.98857,0.99284,0.92777,0.3672,0.19496,0.00849,0.00135848,0.00135848,0.00135848
164,347.419,0.40213,0.17696,0.0058,0.96109,0.99,0.99306,0.92427,0.36117,0.15686,0.00853,0.00135452,0.00135452,0.00135452
165,349.505,0.37874,0.17851,0.00561,0.97511,0.9796,0.99262,0.91646,0.3704,0.1647,0.00835,0.00135056,0.00135056,0.00135056
166,351.666,0.37456,0.16538,0.00557,0.95897,0.99,0.98767,0.91853,0.37647,0.15111,0.00846,0.0013466,0.0013466,0.0013466
167,353.693,0.39255,0.17463,0.00599,0.98992,0.9824,0.98801,0.92007,0.37591,0.13047,0.00931,0.00134264,0.00134264,0.00134264
168,355.812,0.37878,0.16425,0.00579,0.98398,0.99,0.9942,0.93232,0.36727,0.12588,0.008,0.00133868,0.00133868,0.00133868
169,357.877,0.39952,0.17492,0.00579,0.96092,0.98344,0.98735,0.92869,0.38169,0.15611,0.00866,0.00133472,0.00133472,0.00133472
170,359.967,0.39807,0.1761,0.0058,0.97075,0.99,0.99213,0.92538,0.37724,0.14068,0.00883,0.00133076,0.00133076,0.00133076
171,362.004,0.39393,0.17513,0.00558,0.95647,0.98879,0.99193,0.93168,0.34447,0.14761,0.00803,0.0013268,0.0013268,0.0013268
172,364.162,0.3711,0.16788,0.00547,0.9681,0.985,0.98864,0.92529,0.36724,0.13913,0.0082,0.00132284,0.00132284,0.00132284
173,366.23,0.36779,0.16389,0.0052,0.96081,0.98073,0.9876,0.92346,0.37502,0.15647,0.00812,0.00131888,0.00131888,0.00131888
174,368.506,0.36411,0.15931,0.00531,0.96986,0.995,0.9935,0.94207,0.34644,0.12465,0.0072,0.00131492,0.00131492,0.00131492
175,370.855,0.36892,0.16153,0.00522,0.9901,0.99961,0.99093,0.93067,0.34936,0.1223,0.00766,0.00131096,0.00131096,0.00131096
176,373.29,0.36389,0.15638,0.00508,0.96597,0.99361,0.99386,0.93445,0.35399,0.12575,0.00773,0.001307,0.001307,0.001307
177,375.368,0.38557,0.16167,0.00561,0.9848,0.97179,0.99351,0.93004,0.38936,0.14295,0.00886,0.00130304,0.00130304,0.00130304
178,377.426,0.39615,0.16756,0.00533,0.97793,0.995,0.99445,0.92505,0.39787,0.1295,0.00935,0.00129908,0.00129908,0.00129908
179,379.448,0.38663,0.17072,0.00556,0.97662,0.995,0.99419,0.93253,0.3575,0.12005,0.0077,0.00129512,0.00129512,0.00129512
180,381.618,0.38331,0.16536,0.00541,0.98824,0.995,0.99383,0.92562,0.38331,0.12603,0.00804,0.00129116,0.00129116,0.00129116
181,383.626,0.37004,0.17008,0.00538,0.98112,0.995,0.99389,0.92165,0.38063,0.13286,0.00875,0.0012872,0.0012872,0.0012872
182,385.687,0.37499,0.17701,0.0056,0.97978,0.985,0.99426,0.9248,0.39107,0.15261,0.00925,0.00128324,0.00128324,0.00128324
183,387.728,0.36496,0.15704,0.00519,0.99906,0.985,0.99475,0.91434,0.42224,0.15612,0.01068,0.00127928,0.00127928,0.00127928
184,389.842,0.37464,0.16741,0.0055,0.99352,1,0.99485,0.94355,0.34431,0.10661,0.00743,0.00127532,0.00127532,0.00127532
185,391.869,0.37143,0.1759,0.00552,0.97794,0.99,0.99406,0.92732,0.39186,0.12633,0.00876,0.00127136,0.00127136,0.00127136
