epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
57,342.609,1.00939,0.83676,0.01384,0.0005,0.75029,0.77958,0.82069,0.55328,1.03323,0.74723,0.02554,9e-05,0.00157458,0.00157458,0.00157458
58,347.889,1.03807,0.8205,0.01603,0.00064,0.77381,0.74709,0.82653,0.41531,1.40821,0.98786,0.02642,0.00025,0.00157293,0.00157293,0.00157293
59,353.421,0.98033,0.78967,0.01312,0.00042,0.72408,0.73358,0.78875,0.50222,1.12134,0.80724,0.0256,0.00011,0.00157128,0.00157128,0.00157128
60,358.477,1.05741,0.80245,0.01531,0.00051,0.77655,0.75267,0.81716,0.49401,1.31094,0.77536,0.02606,0.00018,0.00156963,0.00156963,0.00156963
61,363.685,1.02876,0.80681,0.01512,0.00048,0.79538,0.74573,0.82895,0.50012,1.26856,0.7953,0.02545,0.00018,0.00156798,0.00156798,0.00156798
62,368.176,1.00009,0.72861,0.01318,0.0004,0.70929,0.7908,0.82308,0.50382,1.16405,0.79349,0.02408,0.00012,0.00156633,0.00156633,0.00156633
63,373.998,0.98424,0.74732,0.01265,0.00043,0.81108,0.75706,0.83312,0.52443,1.155,0.78317,0.02445,0.00011,0.00156468,0.00156468,0.00156468
64,378.798,1.01334,0.79122,0.01254,0.00057,0.82357,0.7125,0.83101,0.54874,1.04753,0.73366,0.02601,8e-05,0.00156303,0.00156303,0.00156303
65,384.347,0.9942,0.75516,0.01368,0.00052,0.74484,0.73622,0.81171,0.45475,1.38798,0.86669,0.03089,0.00021,0.00156138,0.00156138,0.00156138
66,389.153,0.9928,0.75907,0.01275,0.00054,0.79699,0.75981,0.83909,0.55765,1.08253,0.68815,0.02479,8e-05,0.00155973,0.00155973,0.00155973
67,393.795,0.94774,0.72126,0.01281,0.0004,0.77109,0.76528,0.84126,0.60809,0.91125,0.66192,0.02205,6e-05,0.00155808,0.00155808,0.00155808
68,399.104,0.94295,0.744,0.0117,0.00035,0.85522,0.72415,0.83957,0.55748,1.07928,0.75903,0.02656,0.00011,0.00155643,0.00155643,0.00155643
69,404.296,0.92816,0.69784,0.01363,0.00038,0.78089,0.77797,0.8404,0.57498,1.04255,0.70117,0.02418,0.0001,0.00155478,0.00155478,0.00155478
