epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
49,291.033,1.34396,0.98289,0.02138,0.00109,0.72161,0.74146,0.78706,0.46154,1.40081,1.00383,0.03563,0.00019,0.00158778,0.00158778,0.00158778
50,296.356,1.31898,0.95034,0.02042,0.00111,0.72682,0.72541,0.78028,0.47274,1.24822,0.91312,0.03428,0.00013,0.00158613,0.00158613,0.00158613
51,301.862,1.38701,0.99832,0.02143,0.00156,0.80898,0.6757,0.78726,0.47916,1.47627,0.92856,0.03917,0.00026,0.00158448,0.00158448,0.00158448
52,307.542,1.35533,0.96526,0.02008,0.00104,0.77417,0.75755,0.81027,0.44668,1.39338,0.98529,0.03565,0.00012,0.00158283,0.00158283,0.00158283
53,313.109,1.36147,1.01429,0.02221,0.00101,0.70863,0.76411,0.74002,0.42209,1.2015,1.13388,0.03176,0.00011,0.00158118,0.00158118,0.00158118
54,318.914,1.31178,0.9181,0.02156,0.00092,0.75756,0.69757,0.77805,0.50387,1.22683,0.98296,0.03452,0.00011,0.00157953,0.00157953,0.00157953
55,324.197,1.33225,0.97207,0.02176,0.00112,0.75824,0.75564,0.7987,0.49096,1.23772,0.83709,0.0434,0.00014,0.00157788,0.00157788,0.00157788
56,329.662,1.31779,0.92833,0.02096,0.00086,0.74119,0.76763,0.79362,0.50088,1.14222,0.78981,0.02951,0.00013,0.00157623,0.00157623,0.00157623
57,335.179,1.34065,0.98739,0.01878,0.00112,0.69851,0.73249,0.76819,0.49342,1.18657,0.89674,0.02957,0.00012,0.00157458,0.00157458,0.00157458
58,340.761,1.36652,0.97473,0.02262,0.00101,0.74674,0.78016,0.81444,0.48719,1.17772,0.7576,0.02884,0.00014,0.00157293,0.00157293,0.00157293
59,345.915,1.32252,0.92874,0.01953,0.00102,0.75573,0.72688,0.79765,0.47933,1.31485,0.92449,0.03301,0.00013,0.00157128,0.00157128,0.00157128
60,350.862,1.25844,0.91575,0.01953,0.00093,0.72643,0.76042,0.78269,0.45149,1.33114,0.88818,0.03287,0.00014,0.00156963,0.00156963,0.00156963
61,356.615,1.30381,0.90326,0.01964,0.00125,0.76776,0.78907,0.82383,0.52684,1.19298,0.79974,0.03087,0.00013,0.00156798,0.00156798,0.00156798
62,362.074,1.29465,0.86621,0.02041,0.00092,0.70531,0.75964,0.77743,0.50158,1.24425,0.95055,0.03062,0.00015,0.00156633,0.00156633,0.00156633
63,367.386,1.30339,0.89324,0.01874,0.00087,0.81282,0.72362,0.80889,0.50406,1.23606,0.7887,0.03429,0.00015,0.00156468,0.00156468,0.00156468
64,372.449,1.34351,0.9289,0.02039,0.00089,0.80316,0.7479,0.84697,0.51707,1.34453,0.80266,0.03556,0.00014,0.00156303,0.00156303,0.00156303
65,375.869,1.35641,0.92408,0.02509,0.00096,0.7712,0.76873,0.81108,0.51467,1.27153,0.82821,0.0375,0.00014,0.00156138,0.00156138,0.00156138
66,380.735,1.39007,0.94693,0.02256,0.00153,0.71832,0.78975,0.7906,0.42636,1.5053,0.94927,0.03237,0.00012,0.00155973,0.00155973,0.00155973
67,386.293,1.41058,0.91133,0.02457,0.00104,0.76999,0.78017,0.84078,0.53293,1.3168,0.73516,0.03292,0.00018,0.00155808,0.00155808,0.00155808
68,391.089,1.32855,0.91962,0.01977,0.00095,0.77868,0.7658,0.81747,0.4892,1.35941,0.90821,0.04187,0.00014,0.00155643,0.00155643,0.00155643
69,396.568,1.30651,0.88518,0.02233,0.00092,0.82337,0.73897,0.8145,0.50044,1.33695,0.87283,0.03606,0.00014,0.00155478,0.00155478,0.00155478
70,401.324,1.29115,0.92267,0.01931,0.00106,0.78799,0.80425,0.81619,0.49048,1.27812,0.82599,0.03097,0.00012,0.00155313,0.00155313,0.00155313
71,406.438,1.28411,0.85405,0.02031,0.00105,0.78646,0.79421,0.81845,0.46645,1.2854,0.78541,0.03427,0.00013,0.00155148,0.00155148,0.00155148
72,411.393,1.29987,0.86076,0.01839,0.00102,0.71805,0.76021,0.7904,0.53776,1.10187,0.94181,0.02791,0.00011,0.00154983,0.00154983,0.00154983
73,416.583,1.23872,0.85665,0.01894,0.00102,0.78282,0.76169,0.81153,0.50754,1.11624,0.80107,0.03097,0.0001,0.00154818,0.00154818,0.00154818
74,421.385,1.1711,0.80789,0.0181,0.00084,0.8141,0.75712,0.81794,0.54799,1.06626,0.79905,0.02687,9e-05,0.00154653,0.00154653,0.00154653
75,426.086,1.1978,0.82961,0.01777,0.00099,0.83297,0.71581,0.8191,0.52544,1.12128,0.87381,0.02752,9e-05,0.00154488,0.00154488,0.00154488
76,431.216,1.19873,0.80985,0.01907,0.00083,0.79012,0.76895,0.8257,0.5229,1.18436,0.83457,0.03134,0.00011,0.00154323,0.00154323,0.00154323
77,436.268,1.21674,0.80595,0.01915,0.00077,0.83401,0.73499,0.8431,0.55284,1.12953,0.69797,0.02908,0.00012,0.00154157,0.00154157,0.00154157
78,441.284,1.22712,0.78673,0.01912,0.00087,0.80659,0.80439,0.85286,0.5673,1.09146,0.68058,0.02601,0.0001,0.00153992,0.00153992,0.00153992
79,446.199,1.1995,0.79928,0.01782,0.00077,0.8263,0.76405,0.83392,0.53984,1.12917,0.68029,0.03219,0.00013,0.00153827,0.00153827,0.00153827
80,450.946,1.19085,0.78986,0.01896,0.00088,0.78003,0.82031,0.84503,0.57226,1.03808,0.69388,0.02781,0.00012,0.00153662,0.00153662,0.00153662
81,456.159,1.16159,0.78602,0.01567,0.00097,0.81414,0.81207,0.83381,0.54528,1.05681,0.68111,0.02601,0.00012,0.00153497,0.00153497,0.00153497
82,460.902,1.13141,0.76714,0.01548,0.00076,0.83244,0.80701,0.83483,0.54396,1.06338,0.64713,0.02689,0.0001,0.00153332,0.00153332,0.00153332
83,465.815,1.17335,0.76519,0.01628,0.00087,0.78903,0.78999,0.83225,0.51682,1.10725,0.74541,0.025,0.00013,0.00153167,0.00153167,0.00153167
84,470.734,1.21343,0.77292,0.018,0.00104,0.80749,0.75537,0.83444,0.57073,1.08879,0.66308,0.028,0.00011,0.00153002,0.00153002,0.00153002
85,475.6,1.2273,0.79501,0.01861,0.00094,0.76887,0.80285,0.81863,0.51278,1.12045,0.71342,0.02899,0.00012,0.00152837,0.00152837,0.00152837
86,480.552,1.18326,0.81878,0.016,0.00098,0.79395,0.77453,0.8335,0.51702,1.25797,0.82029,0.03018,0.00018,0.00152672,0.00152672,0.00152672
87,485.46,1.24801,0.7882,0.01783,0.00093,0.80213,0.79068,0.8445,0.54994,1.08862,0.75792,0.02874,0.00013,0.00152507,0.00152507,0.00152507
88,490.044,1.18781,0.77337,0.01937,0.00082,0.79372,0.80591,0.82939,0.52789,1.10754,0.74373,0.02862,0.00012,0.00152342,0.00152342,0.00152342
89,495.086,1.18731,0.77546,0.01635,0.00085,0.76265,0.76089,0.8137,0.52968,1.02432,0.75713,0.02483,9e-05,0.00152177,0.00152177,0.00152177
90,500.191,1.16478,0.75388,0.01682,0.00083,0.78484,0.76037,0.83108,0.53477,1.11894,0.7338,0.02733,0.00011,0.00152012,0.00152012,0.00152012
91,504.918,1.12877,0.75056,0.017,0.00085,0.75344,0.81296,0.8345,0.55304,1.0916,0.68394,0.04064,0.00011,0.00151847,0.00151847,0.00151847
92,510.439,1.18291,0.79851,0.01764,0.00098,0.76075,0.81336,0.83516,0.5387,1.13533,0.76199,0.03,0.00013,0.00151682,0.00151682,0.00151682
93,515.712,1.18417,0.7625,0.01681,0.00081,0.80182,0.81672,0.85134,0.53301,1.06642,0.73168,0.0245,0.00011,0.00151517,0.00151517,0.00151517
94,520.613,1.12618,0.73036,0.01849,0.0008,0.76024,0.79686,0.8135,0.52806,1.06179,0.69759,0.02571,0.00012,0.00151352,0.00151352,0.00151352
95,525.61,1.17144,0.7546,0.01562,0.00103,0.84964,0.7599,0.84961,0.55827,1.09069,0.72233,0.02757,0.00012,0.00151187,0.00151187,0.00151187
96,530.571,1.13726,0.7533,0.01617,0.0009,0.77334,0.80097,0.84199,0.55693,1.09065,0.62978,0.02709,0.00011,0.00151022,0.00151022,0.00151022
97,535.443,1.12327,0.71951,0.01604,0.00078,0.76023,0.81514,0.82073,0.55135,0.9927,0.66106,0.02604,8e-05,0.00150857,0.00150857,0.00150857
98,540.353,1.13563,0.70623,0.01542,0.00075,0.77899,0.79701,0.83419,0.53707,1.06325,0.78365,0.02747,0.00011,0.00150692,0.00150692,0.00150692
99,545.098,1.11786,0.72923,0.01632,0.00076,0.79525,0.78995,0.84983,0.56301,1.07171,0.6652,0.02718,0.0001,0.00150527,0.00150527,0.00150527
100,550.014,1.16313,0.6875,0.01785,0.00105,0.73884,0.84339,0.8082,0.52196,1.07898,0.67546,0.02952,0.0001,0.00150362,0.00150362,0.00150362
101,554.97,1.11408,0.70084,0.01619,0.00068,0.75044,0.84274,0.82866,0.55032,1.09272,0.65442,0.02838,0.0001,0.00150197,0.00150197,0.00150197
102,560.264,1.11289,0.69859,0.0153,0.00077,0.79789,0.79898,0.83333,0.55198,1.07034,0.63799,0.0255,9e-05,0.00150032,0.00150032,0.00150032
